Bank,Year,Type,Reserve, Loan ,Delay,Securties,ROA
1,1999,NWB,10284723 ,798121784 ,48090207 ,0.4493 ,0.67
1,2000,NWB,11766876 ,821992614 ,57009141 ,0.4851 ,0.66
1,2001,NWB,12982899 ,814505733 ,76040423 ,0.4145 ,0.49
1,2002,NWB,12331667 ,793159330 ,56221091 ,-0.1946 ,0.38
1,2003,NWB,11194726 ,836483782 ,41611655 ,1.1849 ,-2.64
1,2004,NWB,11191609 ,892389326 ,34451065 ,0.3317 ,0.32
1,2005,NWB,14337065 ,910044785 ,14127027 ,0.5458 ,0.16
2,1999,NWB,8612310 ,815399977 ,45968823 ,0.6774 ,0.98
2,2000,NWB,8838490 ,865775545 ,50266280 ,1.1520 ,0.73
2,2001,NWB,9479310 ,854221902 ,68789318 ,1.1716 ,0.68
2,2002,NWB,9793635 ,902223948 ,33958294 ,0.7473 ,0.54
2,2003,NWB,11051836 ,947602592 ,28955248 ,1.0886 ,-2.71
2,2004,NWB,9511668 ,1012393905 ,20342991 ,0.8688 ,0.91
2,2005,NWB,10613074 ,1310027821 ,20226231 ,1.0480 ,0.91
3,1999,NWB,8203511 ,858827479 ,47239929 ,0.9739 ,0.98
3,2000,NWB,10372477 ,877014194 ,52906785 ,1.3533 ,0.77
3,2001,NWB,11266764 ,885079116 ,78247460 ,1.1642 ,0.6
3,2002,NWB,14426173 ,913357425 ,32236461 ,-0.1720 ,0.46
3,2003,NWB,8045944 ,985052641 ,12666724 ,1.2391 ,-2.36
3,2004,NWB,5730295 ,970726892 ,10759402 ,0.3377 ,-1.34
3,2005,NWB,10613074 ,1249942069 ,15482324 ,0.3755 ,0.91
4,1999,NWB,6657597 ,668388337 ,35941089 ,0.4616 ,0.81
4,2000,NWB,7155545 ,690449379 ,47964302 ,0.3130 ,0.72
4,2001,NWB,9581989 ,684161882 ,68919770 ,0.6351 ,0.57
4,2002,NWB,12307302 ,663369489 ,67607269 ,-0.7910 ,-1.69
4,2003,NWB,11977701 ,676991746 ,66420158 ,0.4538 ,0.16
4,2004,NWB,7580591 ,735887146 ,34809754 ,0.6467 ,0.13
4,2005,NWB,7140871 ,741322079 ,15718784 ,0.3185 ,-0.73
5,1999,NWB,7616993 ,481038406 ,8973529 ,0.3552 ,1.08
5,2000,NWB,7564572 ,550399698 ,9509495 ,0.7207 ,1.11
5,2001,NWB,10074730 ,642191361 ,14919049 ,0.6450 ,1.44
5,2002,NWB,10615197 ,605483197 ,13510514 ,1.2009 ,1.32
5,2003,NWB,9954423 ,732299487 ,10525314 ,1.2506 ,1.96
5,2004,NWB,13906375 ,879799700 ,12659129 ,0.5736 ,0.94
5,2005,NWB,12260510 ,1052089585 ,12845447 ,0.4601 ,1.69
6,1999,NWB,9112553 ,510978904 ,13844672 ,0.1348 ,1
6,2000,NWB,8292499 ,561836104 ,14463668 ,-0.1715 ,0.9
6,2001,NWB,9112396 ,542204479 ,17530111 ,0.3798 ,0.88
6,2002,NWB,6656861 ,578773838 ,11904953 ,0.0550 ,0.67
6,2003,NWB,7481901 ,546882413 ,9243291 ,1.8959 ,0.46
6,2004,NWB,7844125 ,627491976 ,4684229 ,6.4565 ,0.89
6,2005,NWB,7058346 ,872147215 ,2653108 ,1.2732 ,1.1
7,1999,NWB,5206319 ,450835822 ,6449274 ,0.7993 ,0.62
7,2000,NWB,4608200 ,455392679 ,6438402 ,1.4553 ,1.01
7,2001,NWB,6116796 ,450809675 ,18572006 ,2.2260 ,1.18
7,2002,NWB,4190941 ,468553866 ,12545376 ,4.4191 ,0.97
7,2003,NWB,4672364 ,485871656 ,10201403 ,1.7346 ,0.76
7,2004,NWB,4928083 ,503017391 ,9642070 ,1.6826 ,1.04
7,2005,NWB,4281123 ,525838704 ,9864058 ,1.4736 ,1.15
8,1999,NWB,1641351 ,137094082 ,1472297 ,1.6425 ,10.65
8,2000,NWB,1809628 ,157540008 ,1605661 ,2.7645 ,8.97
8,2001,NWB,1496133 ,179268735 ,2127227 ,2.0185 ,7.77
8,2002,NWB,1322656 ,194115907 ,1432751 ,2.3174 ,6.46
8,2003,NWB,5970386 ,177578893 ,784998 ,-1.9518 ,3.39
8,2004,NWB,4799640 ,173753038 ,868838 ,-1.5936 ,-6.6
8,2005,NWB,3542731 ,174845171 ,1402013 ,3.9476 ,-2.72
9,1999,RB,2523503 ,252699531 ,7814376 ,0.4889 ,1.13
9,2000,RB,2536964 ,269049853 ,7487668 ,0.7174 ,0.85
9,2001,RB,3040850 ,267883852 ,10441915 ,0.7852 ,0.86
9,2002,RB,2881097 ,292342757 ,9688047 ,0.9052 ,0.86
9,2003,RB,1831592 ,326026157 ,5977923 ,0.6417 ,0.81
9,2004,RB,1816599 ,361080266 ,3994991 ,0.4177 ,0.91
9,2005,RB,3096550 ,375796328 ,5844604 ,0.6739 ,1.12
10,1999,RB,2305495 ,195980908 ,23285470 ,1.3121 ,0.74
10,2000,RB,2686444 ,204441652 ,17247628 ,1.0727 ,0.13
10,2001,RB,2475907 ,220723371 ,17594713 ,0.4490 ,0.1
10,2002,RB,2976413 ,232375528 ,9955575 ,0.8691 ,0.26
10,2003,RB,3687581 ,245954316 ,10308233 ,2.5730 ,-1.11
10,2004,RB,3554542 ,301692096 ,6755112 ,0.1428 ,0.88
10,2005,RB,3313075 ,338043019 ,6757499 ,0.6735 ,0.9
11,1999,RB,3783973 ,137129433 ,22906226 ,4.1310 ,-2.11
11,2000,RB,4408335 ,137063576 ,22517255 ,3.3071 ,0.49
11,2001,RB,4689307 ,137568635 ,25082114 ,1.9760 ,0.15
11,2002,RB,4495656 ,140730928 ,18448927 ,1.3102 ,0.21
11,2003,RB,4812953 ,157503367 ,16531920 ,0.9312 ,-1.96
11,2004,RB,4494568 ,181899506 ,8619538 ,0.9669 ,0.3
11,2005,RB,1543282 ,187186554 ,3651426 ,0.4284 ,0.38
12,1999,RB,2351261 ,94339390 ,8991273 ,0.2510 ,0.25
12,2000,RB,1743201 ,91624646 ,7713830 ,-0.9766 ,-0.85
12,2001,RB,1587783 ,90726486 ,10635030 ,0.2751 ,-0.03
12,2002,RB,1213179 ,95453095 ,9484046 ,-0.0921 ,0.24
12,2003,RB,1331099 ,96503892 ,8287399 ,0.9689 ,-1.45
12,2004,RB,1117686 ,110072195 ,5091817 ,1.4354 ,0.45
12,2005,RB,735576 ,114512937 ,2527355 ,-0.3408 ,0.51
13,1999,RB,247754 ,130382183 ,3457924 ,1.3229 ,0.36
13,2000,RB,431417 ,157603072 ,3416252 ,0.8068 ,-0.64
13,2001,RB,897482 ,170596654 ,4570072 ,0.8601 ,0.45
13,2002,RB,1295877 ,150575327 ,3277502 ,2.4255 ,0.65
13,2003,RB,905018 ,126847232 ,1868354 ,0.9896 ,0.27
13,2004,RB,808858 ,118046067 ,1676544 ,0.7332 ,0.51
13,2005,RB,962345 ,117132021 ,1709887 ,2.1226 ,0.51
